CName,EName,CToldescribe,CAdd,Picdescribe1C
國之北疆,Northernmost Frontier,"很多人知道中華民國國境最南到南沙群島的曾母暗沙，但可能不知道國境最北，就在馬祖東引。  往清水澳管制哨西北方向順著道路前行，爬過山頭直走到底，就是中華民國的國之北疆，但其實真正的台灣最北端極點可是位在羅漢坪岬角外海中的小礁石喔！這座礁石又稱為「北固礁」，位於西引后澳上方約600公尺處（座標位置N26°22'58.8"" E120°28'34.0""），目前礁島上杳無人煙，會隨著潮水的漲退，時而隱没或出現。  為紀念國之北疆在此，以及讓遊客一睹風采，馬管處在后澳岬角建置觀景台，並立起一塊石牌，寫有「國之北疆」的字樣，提供遊客拍照留念，即便沒有看到北固礁，也還是可以證明自己來過「國境之北」。",連江縣東引鄉國之北疆 ,國之北疆俯瞰
燕秀潮音,Yanxiuchaoyin Cave ,燕秀潮音為一處天然形成的濱海風洞，位於東引島南側海岸，四面絕壁沒有開口，藉著谷底裂縫與大海相通，每日潮汐引發潮水灌進谷底，潮浪撞擊岩面引發迴響，故名「潮音」，至於「燕秀」乃本地方言「燕巢」之意，由於本島海風強勁，燕子多無法在屋簷下築巢，昔日都棲息在山谷中，國軍進駐後，常在附近舉行實彈演習，槍砲聲隆隆巨響，使得燕子飽受驚嚇，後來便不在該處築巢。  區內設有潮音亭及環谷步道，可選擇左進右出或右進左出，沿山谷繞一圈，周邊遍佈保育類植物濱柃木及海桐，站在山谷的制高點，可以360度欣賞四周的海崖、海灣、海岬及海蝕洞等多種不同景觀，尤其遠眺老鼠沙石林、浣熊石、朝山龜石，壯闊海景更是美不勝收，來訪的旅客千萬別錯過。,連江縣東引鄉燕秀潮音 ,燕秀潮音
烈女義坑,Lienuyikeng Cliff ,巍峨壯麗的淒美懸崖,連江縣東引鄉烈女義坑 ,烈女義坑 
東湧燈塔(東引島燈塔),Dongyong Lighthouse ,"東湧燈塔（又稱為東引島燈塔）位於世尾山山腰上－全馬祖列島的極東之地，亦有著北疆燈塔之稱，純白色的磚造塔身，高13公尺，洋溢著18世紀歐洲式建築風格，聳立於懸崖峭壁上。東湧燈塔的興建，起源於光緒27年（約1901年），長450英尺的輪船「蘇布輪號」行經東湧附近，因觸礁沉沒，雖乘客及貨品都安然無恙，但船公司損失慘重，又由於三都澳開埠後，進出口貿易額倍增，終於促成東湧燈塔的興建。1988年文建會評定為國家三級古蹟，並於2016年升格為國定古蹟，是台閩地區位置最北的一座古蹟。 
早期，燈塔位於管制區，守燈員需攜家帶眷住進燈塔裡，為了供應工作人員的食物，還設立了雞舍、豬舍等，在物資缺乏的年代，塔外的人對塔內的守燈員，可是羨慕不已，因此稱此地為「東引別墅」。燈塔下方崖邊設有霧砲兩尊，現改增設霧笛一座，取代霧砲做為助航之用，燈塔面向東海，聳立於懸崖峭壁上的白色外形，和崖下湛藍的海水相互輝映，格外引人入勝，遊客順著低矮的白色水泥護欄蜿蜒而上，就能找到這座燈塔",連江縣東引鄉樂華村169號 ,東湧燈塔(東引島燈塔)
一線天,Yixiantian Cliff ,一線天位在東引島東側天王澳的左側岬角，為一處聳峭的海蝕溝地形，兩岩壁垂直相鄰至相接，上窄下寬，上接天、下通海，每當潮水灌入，底部海浪拍擊石塊，如萬馬奔騰之音，壯闊迴繞於岩壁間；在兩座山崖之中築有坑道，並建有一座水泥橋相連，橋面距海面僅數十公尺，卻有百公尺以上之氣勢。  岩壁上題有「天縫聆濤」四個大字，絕妙說出這個景點的動人之處，是1972年時任參謀總長的賴名湯將軍蒞臨東引巡視時所題，靜塑於高聳岩壁上，頗有遠戍前線的孤絕之感。  過去，一線天是軍事管制區，但現今一線天已完全開放，不需預約登記就可以自由進入參觀；拾階步行向下，抵達戰備壕溝的終點，「一線天」景致於眼前展現，想聽浪濤聲，隨時都可以前往。,連江縣東引鄉一線天 ,一線天
芹壁聚落 ,Qinbi Village ,媲美地中海風情的最美石頭屋聚落 想要看地中海美景，不用千里迢迢飛到國外去，來馬祖北竿就可以看到媲美歐洲石頭山城的浪漫風情！芹壁是馬祖列島中保存馬祖傳統閩東建築最完整、也最具代表性的地方之一，深受國內外建築、文化和藝術界的青睞。早年村民以捕蝦皮為生，70年代漁業沒落，居民大多外遷謀生，原本因人口外移而留下的空屋群，在政府有計畫的修繕下，轉變為民宿以及藝文空間等，讓一座座石頭屋回復昔日多樣化的風貌，穿梭在蜿蜒的山城中，不難發現房屋上斑駁褪色的各種特色標語，彷彿墜入了時光迴廊，如今遊客看在眼裡，不由得莞爾一笑。  倚著山壁建造的芹壁聚落，背山面海，依山勢呈階梯狀排列，層層相疊、錯落有致，主要分成北面山、南面山、中路等區，清末時期為福建長樂鶴上陳氏家族開發，屋舍多為當地花崗石建築，其間工法最細緻的一棟民宅，為戰爭時期「和平救國軍」北竿部隊主任陳忠平所築建的「海盜屋」，除了門面立牆採用高級的青白石，也是芹壁村唯一一棟屋頂刻有石獅的房屋，再加上地勢居高臨下，十分氣派。  漫步在石頭屋的巷弄間，隨處都能看見蔚藍海洋，每轉個彎都頗有柳暗花明又一村之感、各自精采，不妨挑間咖啡廳，凝望海洋與島嶼，伴隨陣陣浪濤聲，享受眼前的愜意美好。  青蛙神信仰 守護芹壁的鐵甲元帥 沿著山勢而行，沿途除了欣賞海天一色，還能感受在地獨特宗教信仰－隨處可見青蛙神的蹤跡。其實青蛙神是芹壁村的守護神，居民尊稱其為鐵甲元帥，早年從閩東移居馬祖時，也把動物信仰帶入當地，至今居民仍不時會到天后宮尋求蛙神指示或祈福。  微醺難忘的好滋味 來碗熱呼呼的老酒麵線 秋冬遊馬祖，不可不吃老酒麵線！老酒湯頭結合爽口麵線，搭配紅糟肉、煎蛋、麻油炒過的食材，配料簡單卻有細緻湯頭，令人銷魂的美味酒香麵線，到芹壁絕對不能錯過。,連江縣北竿鄉芹壁村,芹壁聚落
坂里沙灘,Banli Beach ,閃耀著白色光芒的細軟沙灘 平直的海岸、細軟的沙灘，對於多岩灘的馬祖而言，坂里的一片白色沙灘特別顯得珍貴。坂里沙灘是一處開口東南向的灣澳，每年夏天都會受到季風的吹襲，再加上洋流夾帶而來的泥沙，日積月累形成一大片平坦的沙灘，橫臥在藍天碧海之中。  由芹山、坂山、里山圍繞的坂里沙灘是馬祖最平整、最廣闊的優質沙灘，與午沙沙灘相連成一片綿延的海岸線，中間設有木棧道連結，因砂質含有石英成分，當陽光照射時，整片沙灘會閃耀著白色內斂的光芒，不管是看日出，或是觀夕陽，坂里沙灘都能讓人體驗光影雲彩變幻之美。  層層蕩漾的海浪輕拂著沙灘，適合戲水踏浪，也漸漸成為居民、遊客漫步或欣賞海景的好去處；這樣美麗夢幻的一片沙灘，就位在北竿遊客中心後面，如果有來遊客中心一趟，不妨順道走訪綿延的金黃沙岸，踩踩沁涼海水、散心賞海景。  小巧多彩坂里天后宮  麻雀雖小五臟俱全 坂里沙灘往白沙港方向的不遠處，有間堪稱全世界最小、最迷你的媽祖天后宮，色彩豐富鮮艷的建築外觀常常吸引過路人目光，和當地樸實無華的民宅形成強烈對比。廟前有兩個可愛的石獅子，廟簷有千里眼及順風耳，雖然只是海邊一間小小廟宇，卻帶給遊客大大驚喜，是寬闊海灘風景中的視覺重點，經過此地時也前往祈福求個平安吧！,連江縣北竿鄉坂里村94號,坂里沙灘與坂里天后宮
塘后道沙灘 ,Tanghoudao Beach ,塘后道沙灘位於北竿機場旁，原本是連結塘岐村、后澳村之間的連島沙洲，由於沙質相當細緻潔白，因而被譽為「糖沙」，周圍廣闊、長數百公尺的沙灘，就像海中平原，漲潮時，沙灘被海水淹沒，只見一條小徑露出；退潮時，兩側沙灘會逐漸裸露，潮來路隱，潮去灘顯，是相當罕見的地形。但因建設北竿機場、為方便交通連結之故，在沙洲中間築起一條道路，將沙灘一分為二，「沙連島」的奇景不再。  如今漫步其中，除了感受腳下的細沙與冰涼的海水，還能超近距離看到飛機起降，是世界少有的機場景緻，值得在等待登機時，把握最後時間前往。  近距離欣賞夢幻藍眼淚 北竿代表淚點之一 每年3-9月是馬祖藍眼淚觀賞期，當海浪拍打上岸，藍色螢光在浪間閃閃發亮，此番美景令人著迷，伴隨著浪花漫步沙灘上，就能看到藍色流光圍繞在腳邊閃閃發亮，想要欣賞美麗的藍眼淚，可要把握住時間喔！,連江縣北竿鄉塘後道沙灘 ,北竿塘后道沙灘
鐵堡,Iron Fort (Tiebao) ,想要深度體驗馬祖戰地風情，一定要將鐵堡納入旅遊路線中！來到仁愛村鐵板海邊上的獨立岩礁，隨即可以感受到戰地的肅殺氣氛，因此處地形險要、便於觀測海面動靜，早年曾被闢為軍事據點，由一班最精銳的兩棲蛙人部隊日夜戍守西側海岸線，更因防禦工事需要，將岩礁內部鑿空，上面覆以水泥掩體，粉刷迷彩漆料，並設置草綠色防護網架，甚至在岸邊崖壁上插滿了防止水鬼摸哨、突擊的碎玻璃與鐵條，佇立於浪濤中。  水泥步道下的鐵堡內部是挖空的坑道，堅硬的花崗岩壁鑿痕歷歷，通道兩側可以看見昔日的地下石室、射口、砲台、房間、廁所及廚房等空間井然羅列，麻雀雖小，五臟俱全，過去由於鐵堡位處偏僻，還配置軍犬防衛，是當時防區唯一有軍階的軍犬，循著坑道登上頂端，海面動靜一覽無遺，也能看到軍犬的圈養住所。時至今日，硝煙遠離，小小的岩礁，曾是海防要塞，處處透露「鐵血剽悍、海上堡壘」的氣魄。,連江縣南竿鄉津板路鐵堡,鐵堡
南竿北海坑道 ,Beihai Tunnel (Nangan) ,人工開鑿鬼斧神工之作 1968年，為戰略需要而開始的「北海計畫」在馬祖地區開鑿了不少「地下碼頭」，專供游擊戰艇停泊使用，如今在軍方釋出之後，成為馬祖地區特殊的「戰地景觀」，若無造訪北海坑道，便如同沒來過馬祖。  北海坑道位處鐵板海岸線，為一深入山腹，貫穿岩壁，呈「井」字形交錯的水道，水道高18公尺，寬10公尺，長640公尺，漲潮時水位達8公尺，退潮時為4公尺，步道全長700公尺，走完一圈約需30分鐘，但要配合潮汐的漲退，在退潮時才能進入。  這座可供百餘艘登陸小艇使用的地底坑道，當年被視為高難度的工程，共出動2個師、3個步兵營、1個工兵營以及1個傾卸車連混合編為3組，不分晝夜輪流施工，歷經820個工作天才完成。當時由於施工設備簡陋，除了用炸藥爆破外，全靠人力一鑿一斧挖掘花崗岩壁而成，不少官兵因而犧牲，工程之艱鉅、氣勢之壯闊，堪稱鬼斧神工之作。在過去戰雲密佈的年代，北海坑道曾經試圖要扮演著地下碼頭的運補功能；今日當人們走進深邃的坑道中，一幕幕雄偉壯闊的岩壁、幽暗浮動的倒影，都讓遊客不自覺地發出陣陣讚嘆。  備註：開放遊客參觀，但白天時需配合潮汐的漲退，才能進入參觀活動，請遊客注意潮差時間！  夜間搖櫓 看藍眼淚的好去處 近年來，由於「藍眼淚」的發現，再加上據點坑道口少有光害，南竿藍眼淚的追淚熱點之一就在北海坑道，搭乘搖櫓船，慢慢搖入坑道內，尋覓散發細微光芒的光暈，是值得一探的體驗。,連江縣南竿鄉仁愛村95-1號,南竿北海坑道
大漢據點,Dahan Stronghold,緊扼海疆大漢天威 南竿遊客中心附近沿著步道行走，來到位於南竿南方鐵板海岸線上的大漢據點，與莒光島、33、46等據點控鎖著鐵板及梅石澳，形成嚴密封鎖網，控制莒光方向水道，戰略地位相當重要。1975年，基於作戰任務需要，當時陸軍登步部隊官兵弟兄不分晝夜輪流施工，因當時設備簡陋，除用炸藥爆破外，其餘均靠人力一寸一土挖掘而成，於1976年3月29日竣工。  據點共分3層，最上層為軍方連部，第2層設有生活圈及預備機槍陣地，最下層設有4座90高砲陣地、簡報室、中山室、庫房、儲藏室等空間；坑道寬約1.5公尺，高約2公尺，主坑道長150公尺，支坑道長為80公尺，合計230公尺。  隨著戰爭情勢和緩，因具有觀光發展的價值，國軍便將大漢據點移交給馬管處，2006年整修完成。走入據點內，每一處槍口、砲口均面向海洋，充滿肅殺氣息，體現了國軍當年「緊扼海疆、大漢天威」之勢；遊客可從南竿遊客中心旁步道進入，繞過據點上方，天氣好時，可以清楚的看見莒光的輪廓。,連江縣南竿鄉仁愛村95-2號,大漢據點
坤坵沙灘,Kunqiu Beach,坤坵沙灘位於西莒島西端，夕照奇美，是馬祖一絕，值得到此一訪人間海角的晚天嫣紅；潮水退去時，從坤坵沙灘延伸直達蛇山的沙地步道原蹤畢露，潮間帶生態十分豐富，是西莒人的「天然冰箱」。  除了沙灘美景之外，坤坵還有一條「坤坵步道」，是沿著山勢而建的木棧道，穿行於西路山的灌叢間，沿途可以欣賞馬祖的各式原生植物，途中涼亭視野極闊，是賞景的好地點，在這裡遠眺蛇山又是另一種風情。,連江縣莒光鄉,西莒坤坵
福正沙灘 ,Fuzheng Beach,順著福正聚落裡的小徑走向海邊，會發現一抹潔白正在海陸交界處，隨著海風浪潮流轉靜臥，那正是被村落圍繞的福正沙灘。這裡海水清澈見底，遊客除了能欣賞蔚藍海景，也是藍眼淚季節時，東莒島上的追淚點之一，運氣好時，夜晚能看見藍色光帶隨著海浪波動，熠熠生輝。  福正沙灘是馬祖少見的沙岸地質景觀，細軟潔白的沙粒，正是人們體驗踏浪採蛤的最佳所在，夏天到東莒，可以忘情的倘佯在沙灘上，少有人干擾的天然游泳池，是消暑及放鬆心情的好去處，任憑浪花拍打在腳上，再搭配一旁絕佳的聚落風情，無疑是人生一大享受。  我家的冰箱在海邊－海中尋寶 福正沙灘同時也是東莒三寶之一－花蛤的產地，也有豐富的蚵、佛手、蠑螺等，潮間帶生態相當豐富，走在礫石岩塊之中，石塊堆隱身著各種螺貝朋友，沒有污染的海邊，處處都是新鮮食材，甚至有著「東莒的冰箱」美稱。,連江縣莒光鄉福正村1號,東莒福正沙灘
磯崎海濱遊憩區,Jiqi Beach Recreation Area ,衝浪與划獨木舟的遊客讓磯崎海灘總是充滿笑聲與活力。 ,花蓮縣豐濱鄉磯崎6-1號,磯崎海濱遊憩區
石梯坪遊憩區,Shitiping Recreation Area ,石梯坪擁有經風力和海水雕刻而成的特殊岩岸風景，潮間帶上豐富的自然生態資源，適合從事潛水和獨木舟活動。,花蓮縣豐濱鄉石梯坪52號,石梯坪遊憩區
秀姑巒溪,Xiuguluan River ,全長約104公里的秀姑巒溪源自中央山脈，是東部第一大溪，切穿海岸山脈一路奔流入海，是橡皮艇泛舟的熱門去處。 ,花蓮縣瑞穗鄉中山路三段215號,秀姑巒溪
三仙台,Sanxiantai,位於台東縣成功鎮東北方的三仙台，是由離岸小島和珊瑚礁海岸所構成，附近海域適合從事潛水、獨木舟活動。 ,臺東縣成功鎮基翬路74號,三仙台
金樽海港週邊海域,Jinzun Fishery Harbor Area,適合衝浪，舉辦臺灣國際衝浪公開賽的地方。,臺東縣東河鄉金樽產業道路80號,金樽海港週邊海域
柴口潛水區,Chaikou Diving Area ,柴口十分適合新手來體驗浮潛，也是每年6-8月強勁的西南風吹臨綠島時，位在避風面的柴口是絕佳浮潛區。 ,綠島環島公路2K處,柴口潛水區
大白沙潛水區,Dabaisha Diving Area ,大白沙沙灘位在綠島南端突出的西南角，是綠島著名的浮潛地點之一，也是綠島最大、最美麗的沙岸。,綠島環島公路13.5K處,大白沙潛水區
石朗潛水區,Shilang Diving Area  ,石朗附近有太平洋黑潮北流通過，潮流比起大白沙要穩定，周邊有著多樣的環狀珊瑚礁，以及各種魚群，有著海底公園的美名，是國際級的潛水天堂，也是綠島最知名、最便利的浮潛地點。 ,綠島環島公路17K處,石朗潛水區
白沙灣,Baisha Bay,白沙灣為一座綿延約1公里的潔白貝殼沙灘，這座由麟山鼻與富貴角共同合抱而成的半月形天然海灣，在碧海藍天的映照下，令人心曠神怡。 輕輕漫步在沙灘上，會為了眼前的蔚藍海色不捨離去，更因為能坐擁一灣細緻的貝殼沙而流連忘返，還有被白浪捲帶上岸的珊瑚礁和貝殼，在歷經長期不斷的沖刷擊碎之後，終成人們握在手中的浪漫與眷戀。一旦風起時，掌中的細沙就急著起舞，它們將依循著強勁海風的吹拂，堆疊出整齊美麗的波浪狀細紋-「砂紋」景象，大自然獨特的藝術品讓人驚嘆不已。,新北市石門區德茂里下員坑33-6號,白沙灣一景
淺水灣,Qianshui Bay,沿著淡金公路從淡水方向進入三芝不久，約於台2縣16公里處即可到達淺水灣，是北海岸著名的海濱美景。淺水灣的海岸線同時具有岩岸與沙灣的特質，左半邊為岩岸，有許多突出的巨岩；右半邊為沙灘，由長時間沉澱而成的藻礁地形和半月形的沙灘組合而成，是為淺水灣的一大特色。海岸不遠處有一片礁石區，許多遊客會到沙灘上逐浪拾貝，漫步在寬闊平直的米白色沙灘上既浪漫又愜意。若是想要感受海風吹拂的恣意，也可騎著腳踏車來淺水灣自行車木棧道體驗風吹草舞的自然韻律，令人心曠神怡。,新北市三芝區淡金公路(2號省道)14.5-16.5公里處,淺水灣一景
中角灣,Jhongjiao Bay,有著灣口內凹的沙岸地形，加上四季北風掀起一波波漂亮的超高浪花，讓位於台 2 線 39 公里處的中角灣，成為北海岸最知名的衝浪天堂。這個絕佳的衝浪地點，每到假日總是聚集許多衝浪客，在海面上乘風逐浪。這裡也有多家俱樂部提供浪板租借與教學，不管你是初學者或是進階者，都能在這片沙灘找到衝浪的快感。新成立的中角灣國際衝浪基地，提供訓練中心與遊客服務，成為國際級的衝浪勝地。除了熱愛衝浪的好手可以在此挑戰自我，由於中角灣的沙灘質地較細，少有小石子，再加上有較大範圍的淺灘區，所以也十分適合孩童在此戲水玩樂。,新北市金山區萬壽里海興路180之3號,中角灣一景
龍洞灣海洋公園,Longdong Bay Ocean Park,炎炎夏日想帶全家大小親近海洋、消暑玩樂，這裡再適合不過了！園內的海洋戲水區及兒童水世界是直接抽取海水，是愛好玩水者和小朋友的天堂，可以在此戲水游泳、獨木舟及潛水，而清澈的海灣內有近百種魚類，可趁此機會和魚兒近距離接觸，徜徉於大海的溫柔懷抱；也可以到海景咖啡屋坐坐，一邊品嚐美食小點及香濃咖啡，一邊眺望龍洞灣美麗海景，遠離都市喧鬧，享受愜意；又或者也可藉東北角這片瑰麗海岸，到地質解說教室和海濱生態教室來場戶外生態學習之旅，一覽豐富的地質景觀，探索多樣的潮間帶生態，和小朋友一起尋寶探險，發掘大海的美好。,新北市貢寮區龍洞街(臺二線85公里處),
龍洞四季灣,Longdong Four Seasons Bay,"這裡充滿了浪漫、熱情的氣氛，純淨的白色建築在藍天碧海之間更顯夢幻，很有幸福感，海岸邊萬化變千的奇岩和綺麗景色，也吸引來自各地的旅遊玩家前來度假放鬆。一如這兒的名稱「四季灣」，四季皆有動人景致及不同玩法，春季時遠眺海洋中鯨豚遨遊的美姿，夏季體驗無邊際的海水泳池及出海船潛，秋季可上龍洞岬灣步道來趟知性樂活之旅，冬季時賞濤濤浪花，泡湯暖心也暖身。

由天然海蝕平台改建而成的海水泳池與大海相通，擁有全視野無敵海景，清澈可見底的海面下，色彩艷麗的魚群隨海流飄舞，還有豐富的藻類貝類及珊物類等，可深深感受到這片水域的原始及迷人，更棒的是這個玩樂天堂還有國內少見的寵物游池，歡迎帶毛小孩一起來清涼一夏！",新北市貢寮區和美街48號,
藍灣海濱遊憩園區,Blue Bay Coastal Leisure Area,"藍灣海濱遊憩園區的金色沙灘綿延3公里，迄於福隆的黃金海岸，因此最棒的玩法就是租台單車，沿著平穩易騎的濱海自行車道，觀賞途中東北角特有的沙丘植物和波光嶙嶙的雙溪河，經過龍門吊橋一覽開闊視野後，就會到達目的地。園區內應有盡有，大小朋友最愛的海水浴場，其石英沙沙質柔軟細緻；還有生態步道、不定期的活動特展、烤肉區餐飲部、手作體驗及各式景觀藝術等，玩沙雕沙之外更有多種玩樂選擇。

你很難不注意到那座佇立於海灘旁的「鹽寮抗日紀念碑」，靜靜地訴說過往歷史。1895年乙未戰爭時，鹽寮為日軍登陸首站，大舉進據展開殖民統治史，並於此興建登陸紀念碑，臺灣光復後曾遭民眾搗毀，1975年則利用原有之碑座改建為現今的抗日紀念碑，紀錄這段抗日史事。

除了感受歷史情懷，不能錯過的還有這裡取之於自然的地景藝術，以黃金海岸結合沙雕、漂流木、鐵件、竹材及風鈴等自然元素，創作出一個個故事，也讓園區充滿原住民元素及濃濃的南洋風，而如想休憩解渴，也可到風格與眾不同的藍灣咖啡坐坐，在古色古香的彷閩式建築中啜飲咖啡及輕食，吹吹海風，享受這裡靜謐的一切。","
新北市貢寮區研海街45號",
福隆沙灘,Fulong Beach,"福隆沙灘，是個即使沒有去過也一定聽過的景點！你可能不知道的是，早在日據時代開始，他就已經是個相當知名的海水浴場，穿梭歷史百年後至今仍熱鬧非凡。雙溪河在此入海，使得這片金黃色沙灘被太平洋及雙溪河前後簇擁著，形成內河外海，獨一無二的雙重景觀，再加上一片湛藍海景，有黃金海岸之美譽。連接兩處的彎月型拱橋則有個很美的名字-「彩虹橋」，引領遊客前往這片夏日聖地，而除了碧海藍天的海灣風光，因這裡河面寬廣，水流平穩，無論是風帆、獨木舟或是衝浪等水上活動都非常適合，愛好水上運動的你千萬不要錯過。

夏天是這裡最精彩的季節，每年的「福隆國際沙雕藝術季」，邀請來自不同國家的沙雕藝術家在此精雕細琢，雕出座座令人嘆為觀止的藝術作品，適合全家大小一起共遊觀賞；接續則是貢寮國際海洋音樂祭，吸引國內外熱愛音樂、熱愛大海的人前來朝聖狂歡，可說是夏日最狂的海洋音樂祭典，也讓海水浴場充滿青春與活力！",新北市貢寮區福隆里福隆街40號,
